Date,Open,High,Low,Close,Volume
2025-08-29 00:00:00-04:00,170.90821340692327,172.21574916521962,170.34926821834904,171.62686157226562,2090000
2025-09-02 00:00:00-04:00,169.68053550741192,172.93440382312454,169.48091439401438,171.1278076171875,2359200
2025-09-03 00:00:00-04:00,170.6387361911736,171.63685697667853,167.18523157207613,167.5445556640625,2753100
2025-09-04 00:00:00-04:00,167.85396969839414,167.97373931832428,165.21893144913014,167.7142333984375,3410800
2025-09-05 00:00:00-04:00,168.52270362794437,169.001812553209,166.46657732155404,168.30311584472656,2205500
2025-09-08 00:00:00-04:00,169.12158265396044,169.8102884096516,166.86582000719065,167.74417114257812,1691100
2025-09-09 00:00:00-04:00,168.0036956808292,168.0036956808292,165.64813004932137,165.72796630859375,2058700
2025-09-10 00:00:00-04:00,165.49840213839872,170.02987895489002,164.1908663688752,169.9500274658203,2831900
2025-09-11 00:00:00-04:00,170.7684662768569,170.94813592185199,168.21327973111534,169.5707244873047,2411000
2025-09-12 00:00:00-04:00,169.2712953529425,172.8146270827262,168.6824077621364,172.05606079101562,1996200
2025-09-15 00:00:00-04:00,171.1976744036567,172.3654738473985,170.40915048644175,171.44720458984375,2042700
2025-09-16 00:00:00-04:00,171.6068950622922,175.23007829696562,170.68862579013899,171.75662231445312,3189200
2025-09-17 00:00:00-04:00,171.89635812201143,173.9125663171441,170.18956492497006,173.26377868652344,1883500
2025-09-18 00:00:00-04:00,172.60501950411134,174.46152476765636,171.55700486720426,172.84457397460938,2354800
2025-09-19 00:00:00-04:00,172.52518548794626,174.36172409530744,170.86830131320937,172.7647247314453,8449800
2025-09-22 00:00:00-04:00,173.3635978226843,173.46340076095058,171.39729870048015,173.09410095214844,2842900
2025-09-23 00:00:00-04:00,173.28374714974524,174.93064032497614,172.8944806594117,173.74288940429688,2158700
2025-09-24 00:00:00-04:00,173.79278933103254,174.6312223803737,165.78787145728577,167.0355224609375,3099000
2025-09-25 00:00:00-04:00,167.80407153271534,168.87206814697038,167.47468982635954,168.0037078857422,1944300
2025-09-26 00:00:00-04:00,172.67488568338143,196.95916478658276,169.76037498963396,192.9866485595703,14485700
2025-09-29 00:00:00-04:00,203.11757540601934,203.36710559693583,201.3409216651031,201.67030334472656,22698500
2025-09-30 00:00:00-04:00,201.37086245294608,201.77010466316156,200.92171115892515,201.32095336914062,8930100
2025-10-01 00:00:00-04:00,201.1413047373236,201.92981345575157,201.02151988671736,201.2510986328125,3764700
2025-10-02 00:00:00-04:00,201.14129572582607,201.22114721261457,200.42264757484352,200.6222686767578,5497400
2025-10-03 00:00:00-04:00,200.5324387302933,200.8717961219304,200.17311465970295,200.31285095214844,3671700
