Date,Open,High,Low,Close,Volume
2025-09-08 00:00:00-04:00,9.944218076478855,9.953872877932657,9.635270875084961,9.722162246704102,6840800
2025-09-09 00:00:00-04:00,9.683543994893968,9.722162280109329,9.567689139247888,9.577343940734863,6040300
2025-09-10 00:00:00-04:00,9.5869979784573,9.644924941299218,9.39390564703098,9.49045181274414,7085800
2025-09-11 00:00:00-04:00,9.500106814194721,9.615961663058988,9.461488531239967,9.548379898071289,5295800
2025-09-12 00:00:00-04:00,9.558033192750672,9.558033192750672,9.297360028957623,9.326323509216309,7417600
2025-09-15 00:00:00-04:00,9.345634263191764,9.53872568996586,9.297361176315102,9.335979461669922,5275100
2025-09-16 00:00:00-04:00,9.364942779448175,9.403561064118234,9.152541753396589,9.229779243469238,5305400
2025-09-17 00:00:00-04:00,9.229779441709882,9.442179551590943,9.133233267594814,9.142888069152832,4906700
2025-09-18 00:00:00-04:00,9.113922718313221,9.20081408184961,8.99806787384219,9.191160202026367,7581300
2025-09-19 00:00:00-04:00,9.229779645359743,9.229779645359743,8.988415125479058,9.007723808288574,32414900
2025-09-22 00:00:00-04:00,8.988414764404297,9.133233102222162,8.94979647960403,8.988414764404297,7385600
2025-09-23 00:00:00-04:00,8.901523024916786,9.007723073537933,8.7663585733451,8.776013374328613,8111700
2025-09-24 00:00:00-04:00,8.795322032527613,8.998068248987886,8.785668152301882,8.969104766845703,4519200
2025-09-25 00:00:00-04:00,8.785668537933772,8.85325030614275,8.73739545175627,8.843595504760742,6587600
2025-09-26 00:00:00-04:00,8.85324935697908,8.930485918289476,8.727739714666578,8.891867637634277,4998100
2025-09-29 00:00:00-04:00,8.911177671714013,8.92083247352804,8.698777556200902,8.814632415771484,5994300
2025-09-30 00:00:00-04:00,8.785668537933772,8.862905107524757,8.727740650374262,8.843595504760742,7536300
2025-10-01 00:00:00-04:00,8.84359455158434,9.142886917040617,8.84359455158434,9.133232116699219,5316300
2025-10-02 00:00:00-04:00,9.14288691143178,9.14288691143178,8.969104188322977,9.084959030151367,4173000
2025-10-03 00:00:00-04:00,9.075304051033728,9.268396371009592,9.055995371475591,9.220123291015625,3774300
2025-10-06 00:00:00-04:00,9.220124843588698,9.220124843588698,8.988415125479058,9.007723808288574,4788900
2025-10-07 00:00:00-04:00,9.02703304770863,9.094614815914763,8.785668537563827,8.79532241821289,3978700
2025-10-08 00:00:00-04:00,8.785667970084454,8.804976650867943,8.640848720912143,8.669812202453613,6748100
2025-10-09 00:00:00-04:00,8.650503544471546,8.698776627656224,8.515339095700943,8.524993896484375,6120600
2025-10-10 00:00:00-04:00,8.544304091334611,8.563612773509714,8.33190306301321,8.409139633178711,6744200
2025-10-13 00:00:00-04:00,8.399484072747628,8.467066756085078,8.264320547537645,8.37052059173584,6554700
2025-10-14 00:00:00-04:00,8.312592698289029,8.718085114862392,8.254665736339954,8.611885070800781,7439700
2025-10-15 00:00:00-04:00,8.6408485473,8.804976473958138,8.496030221769859,8.56361198425293,4535500
2025-10-16 00:00:00-04:00,8.573266983032227,8.621540066235841,8.42844773342138,8.573266983032227,4610200
2025-10-17 00:00:00-04:00,8.534648700615831,8.602230464661403,8.476720816624995,8.573266983032227,3847500
2025-10-20 00:00:00-04:00,8.582921787148702,8.77601319930558,8.582921787148702,8.621540069580078,3885900
2025-10-21 00:00:00-04:00,8.592576539459372,9.046342094640181,8.582922658420902,9.007723808288574,7553900
