Date,Open,High,Low,Close,Volume
2025-09-22 00:00:00-04:00,267.8699951171875,281.9599914550781,266.0899963378906,281.1400146484375,446300
2025-09-23 00:00:00-04:00,280.8800048828125,284.54998779296875,279.4100036621094,282.5400085449219,528100
2025-09-24 00:00:00-04:00,282.8999938964844,285.0,274.0400085449219,276.5299987792969,340500
2025-09-25 00:00:00-04:00,273.2200012207031,277.67999267578125,266.8399963378906,274.7799987792969,424200
2025-09-26 00:00:00-04:00,279.1600036621094,289.55999755859375,276.30999755859375,287.45001220703125,415600
2025-09-29 00:00:00-04:00,291.0,294.5899963378906,289.3299865722656,294.010009765625,377200
2025-09-30 00:00:00-04:00,294.9800109863281,300.0,288.7099914550781,291.760009765625,496800
2025-10-01 00:00:00-04:00,289.6400146484375,293.67999267578125,286.25,291.6600036621094,258800
2025-10-02 00:00:00-04:00,292.55999755859375,294.3500061035156,286.95001220703125,291.5799865722656,260600
2025-10-03 00:00:00-04:00,292.95001220703125,293.3399963378906,285.5899963378906,286.45001220703125,534700
2025-10-06 00:00:00-04:00,289.2799987792969,291.8599853515625,287.0199890136719,288.6600036621094,330500
2025-10-07 00:00:00-04:00,290.0,292.0,281.7099914550781,286.29998779296875,461500
2025-10-08 00:00:00-04:00,282.6300048828125,294.3500061035156,282.54998779296875,294.0899963378906,251800
2025-10-09 00:00:00-04:00,293.67999267578125,293.8900146484375,288.5899963378906,289.67999267578125,279500
2025-10-10 00:00:00-04:00,291.7799987792969,294.82000732421875,284.1400146484375,284.3299865722656,313700
2025-10-13 00:00:00-04:00,291.5400085449219,294.75,288.69000244140625,290.8999938964844,187900
2025-10-14 00:00:00-04:00,287.67999267578125,297.6000061035156,285.5799865722656,292.8500061035156,212000
2025-10-15 00:00:00-04:00,292.6700134277344,299.5199890136719,289.8399963378906,298.82000732421875,310800
2025-10-16 00:00:00-04:00,300.0,301.8800048828125,294.75,295.44000244140625,278700
2025-10-17 00:00:00-04:00,293.05999755859375,296.2799987792969,287.2099914550781,292.489990234375,276400
2025-10-20 00:00:00-04:00,299.67999267578125,300.1700134277344,292.3399963378906,296.30999755859375,154900
2025-10-21 00:00:00-04:00,296.3299865722656,297.8500061035156,287.04998779296875,290.2799987792969,171200
2025-10-22 00:00:00-04:00,291.0299987792969,293.70001220703125,272.30999755859375,279.5199890136719,355100
2025-10-23 00:00:00-04:00,279.9800109863281,287.0,277.5,286.3800048828125,251300
2025-10-24 00:00:00-04:00,291.29998779296875,295.1600036621094,289.0799865722656,291.9599914550781,204500
2025-10-27 00:00:00-04:00,294.67999267578125,294.67999267578125,277.3999938964844,284.1600036621094,695400
2025-10-28 00:00:00-04:00,281.7799987792969,286.67999267578125,281.010009765625,285.5799865722656,259500
2025-10-29 00:00:00-04:00,289.25,291.6099853515625,285.07000732421875,288.44000244140625,335500
2025-10-30 00:00:00-04:00,285.1300048828125,290.0,281.5,286.3599853515625,339700
2025-10-31 00:00:00-04:00,284.760009765625,293.4599914550781,284.760009765625,287.7900085449219,270100
2025-11-03 00:00:00-05:00,285.4200134277344,291.1000061035156,282.5,286.19000244140625,281300
2025-11-04 00:00:00-05:00,281.4200134277344,286.260009765625,275.0,282.1300048828125,252300
2025-11-05 00:00:00-05:00,283.8599853515625,291.7699890136719,282.3999938964844,290.1499938964844,433500
2025-11-06 00:00:00-05:00,287.19000244140625,289.19000244140625,281.67999267578125,282.9200134277344,219800
2025-11-07 00:00:00-05:00,279.82000732421875,287.6499938964844,273.0,286.4100036621094,501600
2025-11-10 00:00:00-05:00,292.07000732421875,298.07000732421875,288.3699951171875,293.6199951171875,263300
2025-11-11 00:00:00-05:00,290.32000732421875,292.3699951171875,284.29998779296875,290.6099853515625,220200
2025-11-12 00:00:00-05:00,290.5799865722656,297.5799865722656,290.5799865722656,295.57000732421875,289900
2025-11-13 00:00:00-05:00,293.1099853515625,296.2099914550781,279.4599914550781,282.69000244140625,271200
2025-11-14 00:00:00-05:00,279.8599853515625,292.989990234375,273.0299987792969,291.20001220703125,355800
2025-11-17 00:00:00-05:00,291.20001220703125,300.0,289.2099914550781,293.7699890136719,447600
2025-11-18 00:00:00-05:00,290.0299987792969,300.5,289.2099914550781,296.20001220703125,480000
2025-11-19 00:00:00-05:00,324.4800109863281,350.0,317.0899963378906,325.2900085449219,1106400
2025-11-20 00:00:00-05:00,334.4100036621094,350.8699951171875,322.5799865722656,323.3699951171875,749100
2025-11-21 00:00:00-05:00,325.79998779296875,335.4200134277344,320.0199890136719,326.489990234375,576400
2025-11-24 00:00:00-05:00,331.44000244140625,343.69000244140625,329.82000732421875,340.69000244140625,453900
2025-11-25 00:00:00-05:00,342.2099914550781,349.510009765625,340.7900085449219,348.44000244140625,404200
2025-11-26 00:00:00-05:00,350.0,362.5400085449219,350.0,354.9599914550781,517100
2025-11-28 00:00:00-05:00,357.1099853515625,364.3999938964844,355.55999755859375,361.5299987792969,173600
