condition_id,ticker,end_date,side,entry_price,stake,shares,outcome_beat,pnl_dollars,cumulative_pnl
0xfffe2ac968bebd674b4dd91cbef3141483ac2b67f49f5d75547839320d4a8136,DAL,2026-01-13 14:00:00+00:00,NO,0.18000000000000005,6.60797634861742,36.71097971454121,0,30.10300336592379,30.10300336592379
0x9b49db9417c3275700691123dae474dd4183f02ae2bd5e1fd088a883e0d12ac3,GS,2026-01-15 14:00:00+00:00,YES,0.915,1.811465647977137,1.9797438775706413,1,0.16827822959350436,30.271281595517294
0xcbd8d6c5acc3c2d5b0f04e6cd63c1922dbca1ff89be9edce99f4c7d53be2ac58,TSM,2026-01-15 14:00:00+00:00,NO,0.04500000000000004,1.6064142674307362,35.69809483179411,1,-1.6064142674307362,28.664867328086558
0x0a8bebb6884dae47328aa0ecf946dcf3a02e9302716566299087542f7f054be9,BLK,2026-01-15 14:00:00+00:00,YES,0.54,1.359678752143234,2.517923615080063,1,1.158244862936829,29.823112191023387
0xcf44270ebe7eaa79485c11ae65d1bdc86a98b86cc48f6f933d0e5a4705adeb29,STT,2026-01-16 14:00:00+00:00,YES,0.575,1.5153373046664114,2.6353692255068024,0,-1.5153373046664114,28.307774886356977
0x2e111af3005c5a70e34f1b2ac6fca2b11e1cce65ed45cff0f6a1ddb2b5ce12c7,MBWM,2026-01-20 14:00:00+00:00,YES,0.765,1.3228211116143944,1.7291779236789468,1,0.40635681206455243,28.71413169842153
0xa9794d2a4b066f143edaa6728bd2946e54e8c2fedb56244ab6a3d52cbac5dec2,IBKR,2026-01-20 22:00:00+00:00,YES,0.785,1.4003587414691265,1.7838964859479318,1,0.3835377444788053,29.097669442900333
0xe11056a5e125a39c3fdfc6b260af389372a7f6e9a41b5730a287707bbe80c5f6,NFLX,2026-01-20 22:00:00+00:00,NO,0.29500000000000004,6.43162380061741,21.802114578364097,1,-6.43162380061741,22.666045642282924
0xa1d692f441135e3098a20c81fb9f4830df37ccfbd1a9f6ff37a84f7559a59bd4,UAL,2026-01-20 22:00:00+00:00,YES,0.81,3.638472743252055,4.49194165833587,1,0.8534689150838148,23.51951455736674
0xcbd25e65cb375e73dd3efac5fb8217207b2fa02c74c1dacc55ad0f37d073773a,WTFC,2026-01-20 22:00:00+00:00,YES,0.775,1.481106009151506,1.911104527937427,1,0.429998518785921,23.949513076152662
