strategy,condition_id,end_date,side,entry_price,stake,outcome_yes_won,pnl,sector,edge,quarter
E6,0xf5f54f9fd01dd6904e50b1aac8727ca80b08e8fddd62d2e258caa34d9f461ec3,2026-03-18T13:00:00+00:00,YES,0.585,1500.0,0,-1500.0,Staples,0.4040630115085264,2026Q1
E6,0xfefef6b3b9197323deba34011b611fd6ab9357ea0c383d48cd640543df968a19,2026-04-14T13:00:00+00:00,NO,0.54,1500.0,0,1760.8695652173915,Staples,-0.5396622603228273,2026Q2
