condition_id,ticker,end_date,side,entry_price,stake,shares,outcome_beat,pnl_dollars,cumulative_pnl
0xfffe2ac968bebd674b4dd91cbef3141483ac2b67f49f5d75547839320d4a8136,DAL,2026-01-13 14:00:00+00:00,NO,0.18000000000000005,400.0,2222.2222222222217,0,1822.2222222222217,1822.2222222222217
0xa1d692f441135e3098a20c81fb9f4830df37ccfbd1a9f6ff37a84f7559a59bd4,UAL,2026-01-20 22:00:00+00:00,YES,0.81,400.0,493.82716049382714,1,93.82716049382714,1916.049382716049
0xe11056a5e125a39c3fdfc6b260af389372a7f6e9a41b5730a287707bbe80c5f6,NFLX,2026-01-20 22:00:00+00:00,NO,0.29500000000000004,400.0,1355.9322033898304,1,-400.0,1516.049382716049
0x4791b5f8da5935820a4866148e91282c23be1e32e8d7ee30301f209b0f21ee90,JNJ,2026-01-21 14:00:00+00:00,YES,0.725,400.0,551.7241379310345,0,-400.0,1116.049382716049
0x5984a37e42d7f7d85371b288e559f2f10b0de9e1590858a41225e6f3265c17dd,HAL,2026-01-21 14:00:00+00:00,NO,0.29500000000000004,400.0,1355.9322033898304,1,-400.0,716.049382716049
0xaa961d07661553768261adcaaf680a40d5da6e5bd3b4a6b060415d6999154b6d,PG,2026-01-22 14:00:00+00:00,YES,0.855,400.0,467.8362573099415,1,67.83625730994152,783.8856400259905
0xb2b5ba1688887a69d18aebeee1385dd996aa1e71514acebf163b986fc0f820f0,AAL,2026-01-22 14:00:00+00:00,YES,0.75,400.0,533.3333333333334,0,-400.0,383.8856400259905
0x1696b9be75450b5c8f219d111e48bcfa9515a21898d8cb073e10ea6688e777bb,SBUX,2026-01-28 14:00:00+00:00,NO,0.54,400.0,740.7407407407406,0,340.74074074074065,724.6263807667311
0x6c6a1951fc8f841356ef67415f6e79155f74d0e7d50c1ab2ad7ce149b0279c09,TSLA,2026-01-28 22:00:00+00:00,NO,0.7,400.0,571.4285714285714,1,-400.0,324.62638076673113
0x307cb08f3dd72cf84d3f766cf6afe0d08c731805e4c03611f6e184f6e5ab47cc,MSFT,2026-01-28 22:00:00+00:00,NO,0.06499999999999995,400.0,6153.846153846159,1,-400.0,-75.37361923326887
