strategy,description,n_bets,win_rate,win_rate_lo,win_rate_hi,total_pnl,avg_pnl_per_bet,total_stake,roi_pct,n_quarters,sharpe_q,sortino_q,max_drawdown,avg_edge,sharpe,sharpe_lo,sharpe_hi,total_pnl_strip1,total_pnl_strip5
S1,"NO on extreme favorites (p>=0.85), $250",143,0.0769230769230769,0.0349650349650349,0.1258741258741259,-417.27554491297496,-2.9180108035872374,35750.0,-1.167204321434895,2.0,-0.400007598944895,,-13950.00251464782,0.4001188811188811,,,,,
S2,"YES on extreme dogs (p<=0.50), $250",62,0.3387096774193548,0.2258064516129032,0.4516129032258064,-277.6097105159074,-4.477575976063023,15500.0,-1.7910303904252092,2.0,-0.0389391338938559,,-4536.800300396892,0.1496209677419354,,,,,
S3,"Mean-reversion bands (NO>=0.85 / YES<=0.50), $250",205,0.1560975609756097,0.1073170731707317,0.2097560975609756,-694.8852554288806,-3.3896841728238076,51250.0,-1.3558736691295232,2.0,-0.1141747515493268,,-16893.69056841248,0.3243585365853658,,,,,
S4,"Cross-quarter momentum (D's signal), $250",174,0.5287356321839081,0.4540229885057471,0.5977011494252874,-4061.949480346125,-23.344537243368535,43500.0,-9.337814897347412,2.0,-2.341945279859579,-2.341945279859579,-4567.065903993256,0.2016954022988505,,,,,
S5,"Model edge >=5pp, $250 flat",172,0.5755813953488372,0.5058139534883721,0.6453488372093024,-1492.7534334904624,-8.678799031921294,43000.0,-3.471519612768517,2.0,-0.4141552296540219,,-4294.036684140086,0.1172361828046777,,,,,
S6,"Model edge >=10pp, $400 flat",56,0.5178571428571429,0.375,0.6607142857142857,3637.780865140343,64.96037259179184,22400.0,16.24009314794796,2.0,0.4783358406007278,,-3464.279859937336,0.2211075977989633,,,,,
S7,Quarter-Kelly on S5 signals,172,0.5755813953488372,0.5058139534883721,0.6453488372093024,31.2541463496112,0.1817101531954139,504.11558606011425,6.199797668204656,2.0,0.3714816345243718,,-57.19815955599972,0.1911301807155997,,,,,
S1_full,"NO on extreme favorites (p>=0.85), $250 [FULL SAMPLE]",271,0.084870848708487,0.051660516605166,0.1180811808118081,-5276.797189668159,-19.471576345638965,67750.0,-7.788630538255585,4.0,-1.4775345733938483,-1.52149940091547,-14576.923076923078,0.4019132841328413,,,,,
S2_full,"YES on extreme dogs (p<=0.50), $250 [FULL SAMPLE]",123,0.3739837398373983,0.2845528455284553,0.4552845528455284,682.1566806335827,5.5459892734437615,30750.0,2.218395709377505,4.0,0.1139847315722949,0.1396734410110355,-4703.46696706356,0.1530365853658536,,,,,
S3_full,"Mean-reversion bands (NO>=0.85 / YES<=0.50), $250 [FULL SAMPLE]",394,0.1751269035532995,0.1345177664974619,0.2131979695431472,-4594.640509034578,-11.661524134605529,98500.0,-4.664609653842211,4.0,-0.847031808285779,-2.113381488518997,-16363.72337731997,0.3242182741116751,,,,,
S4_full,"Cross-quarter momentum (D's signal), $250 [FULL SAMPLE]",177,0.519774011299435,0.4463276836158192,0.5988700564971752,-4811.949480346125,-27.18615525619279,44250.0,-10.874462102477118,3.0,-2.4375342000530584,-2.4375342000530584,-5317.065903993257,0.2012429378531073,,,,,
E4,see protocol,86,0.6511627906976745,0.5465116279069767,0.7444767441860463,-225.8824643661743,-2.6265402833276084,,,,,,-407.05082166178147,,-0.7090543049205417,-2.6968398269277603,1.3650450527680853,-350.6015654897699,-167.99286983759595
E6,see protocol,2,0.5,0.0,1.0,260.8695652173915,130.43478260869574,,,,,,0.0,,0.08000000000000004,0.08000000000000004,0.08000000000000004,-1500.0,0.0
EC1,see protocol,664,0.006024096385542169,0.0015060240963855422,0.012048192771084338,-105916.10407241332,-159.51220492833332,,,,,,-105666.10407241332,,-2.8592469021509044,-32.53200000000001,-0.32719669423632125,-133443.8818501911,-164750.0
EC2,see protocol,66,0.3484848484848485,0.22727272727272727,0.48484848484848486,4016.93614363537,60.862668842960154,,,,,,-2936.1702127659573,,0.7638681798935933,-1.8333116775599059,2.249502201334901,100.26947696870366,-5040.727152138063
EC3,see protocol,18,0.16666666666666666,0.0,0.3333333333333333,-2140.7002933165722,-118.9277940731429,,,,,,-2053.490990990991,,-1.5634280167124537,-7.64,0.33794086503157084,-3053.490990990991,-3250.0
EC4,see protocol,0,,,,0.0,,,,,,,0.0,,,,,0.0,0.0
CR2,see protocol,66,0.9848484848484849,0.9545454545454546,1.0,418.66186621314154,6.343361609290024,,,,,,-250.0,,1.569117806442738,-0.4200255044403119,12.949267888638722,668.6618662131416,560.6032581545336
