strategy,condition_id,end_date,side,entry_price,stake,outcome_yes_won,pnl,sector,edge,kelly_frac,quarter
E4,0x9b49db9417c3275700691123dae474dd4183f02ae2bd5e1fd088a883e0d12ac3,2026-01-15T14:00:00+00:00,YES,0.915,22.459352037903408,1,2.086387894231463,Banks,0.07245862591908547,0.8524544225774765,2026Q1
E4,0x2e111af3005c5a70e34f1b2ac6fca2b11e1cce65ed45cff0f6a1ddb2b5ce12c7,2026-01-20T14:00:00+00:00,YES,0.765,22.40985780550728,1,6.8840739663976604,Other,0.05291284446457578,0.22516104027479056,2026Q1
E4,0xcbd25e65cb375e73dd3efac5fb8217207b2fa02c74c1dacc55ad0f37d073773a,2026-01-20T22:00:00+00:00,YES,0.775,22.459352037903408,1,6.520457043262279,Other,0.05924424036606024,0.26330773496026777,2026Q1
E4,0xa9794d2a4b066f143edaa6728bd2946e54e8c2fedb56244ab6a3d52cbac5dec2,2026-01-20T22:00:00+00:00,YES,0.785,22.459352037903408,1,6.1512875008270465,Other,0.05601434965876506,0.2605318588779771,2026Q1
E4,0x849ccba97e929ad084891b4ac7e0398e776b541e28536131d5110e8b819b0553,2026-01-21T14:00:00+00:00,YES,0.705,22.459352037903408,1,9.397884895292917,Other,0.07531847847721329,0.25531687619394333,2026Q1
E4,0x4791b5f8da5935820a4866148e91282c23be1e32e8d7ee30301f209b0f21ee90,2026-01-21T14:00:00+00:00,YES,0.725,22.459352037903408,0,-22.459352037903408,Pharma,0.20900716522991347,0.7600260553815035,2026Q1
E4,0x4a9d4a88a2f6d4c053c74fdab025e42f737d5153fb4207e736ccab6d87cfd3c0,2026-01-21T14:00:00+00:00,YES,0.71,22.459352037903408,1,9.173538156326746,Other,0.07991174583690863,0.27555774426520213,2026Q1
E4,0x83df0d286e0b0840b83c69ecee02188df3bf018dc8e82d80ffb739da1f8b6fb5,2026-01-21T14:00:00+00:00,YES,0.72,22.459352037903408,1,8.73419245918466,Other,0.07805424703146535,0.2787651679695191,2026Q1
E4,0xaa961d07661553768261adcaaf680a40d5da6e5bd3b4a6b060415d6999154b6d,2026-01-22T14:00:00+00:00,YES,0.855,22.459352037903408,1,3.8088959596444383,Staples,0.14276383117661295,0.9845781460456065,2026Q1
E4,0x1f5c8acbf361f92bba1529aa3d314446985a8dc8698ef2940c4322bdef9f68ac,2026-01-22T14:00:00+00:00,YES,0.68,22.459352037903408,0,-22.459352037903408,Other,0.08405511956870226,0.26267224865219463,2026Q1
E4,0x1859bedc7a7c34cdd13a7c864177423ed1732841eb486dc59ceb05177ef4cb1a,2026-01-22T22:00:00+00:00,YES,0.7,22.459352037903408,0,-22.459352037903408,Other,0.07602169890974464,0.2534056630324821,2026Q1
E4,0x48202130ab23b7f637370d66310f633c07d081e2200ea6ee4529ac7ae7e0c60b,2026-01-23T14:00:00+00:00,YES,0.715,22.459352037903408,1,8.95232913398947,Other,0.06835551269882423,0.23984390420640078,2026Q1
E4,0xbc2c0328e62b2577e2946404db39250331f18036f866c17a80e03fc83bbfcb73,2026-01-27T14:00:00+00:00,YES,0.72,22.459352037903408,1,8.73419245918466,Other,0.0675501177928336,0.2412504206886914,2026Q1
E4,0xb7f0223ccfd8e47957bffb618ac17fa4a46a1adaffe732a82719dbd11cb44897,2026-01-28T22:00:00+00:00,YES,0.845,22.459352037903408,1,4.119762799852105,TechServices,0.11077076200866875,0.7146500774752822,2026Q1
E4,0x6c6a1951fc8f841356ef67415f6e79155f74d0e7d50c1ab2ad7ce149b0279c09,2026-01-28T22:00:00+00:00,NO,0.3,22.459352037903408,1,-22.459352037903408,AutoEV,-0.29997264867737117,0.9999088289245706,2026Q1
E4,0xc98c3127f8bf77e6e54244693e13ea4299b886ba70ef180d7a720f0cbdfc5a2f,2026-02-02T14:00:00+00:00,YES,0.73,22.459352037903408,0,-22.459352037903408,Other,0.06576048363780307,0.243557346806678,2026Q1
E4,0xce81dca21240b68c9ec667cb9bd6e12f17387d75b85397233afe278646019569,2026-02-02T22:00:00+00:00,YES,0.75,22.459352037903408,1,7.486450679301136,Other,0.05652622314057976,0.22610489256231903,2026Q1
E4,0x71b7effd28a9683d303f2c5c8e7cf45a3afd9a56c73e9f372ec7e613640679db,2026-02-03T14:00:00+00:00,YES,0.83,22.459352037903408,1,4.600108248727206,Staples,0.16746820745330193,0.9851071026664817,2026Q1
E4,0xa258b355d8a309dba6747b6a39d201b4eb2281221274e36f4c5ac50c48a7b59b,2026-02-04T14:00:00+00:00,YES,0.665,7.1752064219298495,0,-7.1752064219298495,Other,0.07315657295562461,0.21837782971828243,2026Q1
E4,0xb63c13fdf411dfed81010c3de36554e5f9691798bb57fce7654645851f16ceb8,2026-02-04T14:00:00+00:00,NO,0.725,22.459352037903408,1,-22.459352037903408,Pharma,-0.137981643405078,0.1903195081449352,2026Q1
E4,0x8b38177ed15bfc1dcb2b2413e0ed848966a5fa36fe98e32baae80c63762fa808,2026-02-05T14:00:00+00:00,YES,0.71,22.459352037903408,1,9.173538156326746,Other,0.06910131896685556,0.2382804102305364,2026Q1
E4,0xe817693c921990583f6f210b0749176dd11ac983f85778dc3fd21b0a2e3e0323,2026-02-05T14:00:00+00:00,YES,0.755,22.459352037903408,0,-22.459352037903408,Other,0.06024599723110513,0.24590202951471482,2026Q1
E4,0x4d17e3841ff9fa0626f39d9658a57356f914abfe476e5b4faa9a48051925dde1,2026-02-06T14:00:00+00:00,YES,0.665,22.459352037903408,1,11.314109673229535,Other,0.07929014658241296,0.23668700472362078,2026Q1
E4,0xe6a0c2bc37267591c05f1c7e7a263b7f7de88ad10bda5eb5f368d449b9baaa63,2026-02-09T14:00:00+00:00,YES,0.665,7.175206421929862,1,3.6145776711977495,Other,0.07315657295562461,0.21837782971828243,2026Q1
E4,0x77295a8a29d8fbe225d1a36dfad9118047d0329abf69987973d229b3f898b23e,2026-02-09T22:00:00+00:00,YES,0.77,22.459352037903408,1,6.708637621711407,Other,0.06077346166023889,0.2642324420010387,2026Q1
E4,0xa195a680b8affd882cbf10ebd4e35d1352a86c1014eae90190625fe58aaed206,2026-02-10T14:00:00+00:00,YES,0.795,22.459352037903408,1,5.791405242478236,Other,0.052558469463875546,0.2563827778725637,2026Q1
E4,0xf19fc084ead0992fa9515c141e4698455f30df248af96d9bd5c91151c7656896,2026-02-10T14:00:00+00:00,YES,0.705,22.459352037903408,0,-22.459352037903408,Other,0.07531847847721329,0.25531687619394333,2026Q1
E4,0xb127046c0d86a3d2e77bc03bab21686b87829d93457fbed8e9f49f79bdd1ae59,2026-02-10T14:00:00+00:00,YES,0.755,22.459352037903408,0,-22.459352037903408,Other,0.05538079803298246,0.22604407360401005,2026Q1
E4,0x3eccf9bde290cbb2b26364277776aea1fdb240b12e4c28427cf8bea0478a2429,2026-02-10T14:00:00+00:00,YES,0.895,22.459352037903408,1,2.6348960491395053,Staples,0.10316685668433356,0.9825414922317484,2026Q1
E4,0xafb23268a1782cd0eb4c5d43e400f78a39030c7cf708c060a258f2334b3f9d77,2026-02-10T22:00:00+00:00,YES,0.775,22.459352037903408,0,-22.459352037903408,AutoEV,0.12635718231429482,0.5615874769524215,2026Q1
