condition_id,ticker,end_date,side,entry_price,stake,shares,outcome_beat,pnl_dollars,cumulative_pnl
0x815144415dd78f1f7a7cf228465855ec7f37fa57eca96503ffa7f934dda8bdad,WDFC,2026-01-08 22:00:00+00:00,NO,0.04949999999999999,250.0,5050.505050505051,0,4800.505050505051,4800.505050505051
0x45d4499655b14d7df52b843c971ae2b6ebbd30bd9a88325e2c063950c0ab8e66,JPM,2026-01-13 14:00:00+00:00,NO,0.0635,250.0,3937.007874015748,0,3687.007874015748,8487.512924520799
0x66b01858d6c1fb1823060cd818a25318f2824928353d4df87c96523a3690b2d0,BK,2026-01-13 14:00:00+00:00,NO,0.06499999999999995,250.0,3846.1538461538494,1,-250.0,8237.512924520799
0x77f5af7d2bd3570be02290745c16ed4d6953d94436d2c1292c2c1f79418cf106,C,2026-01-14 14:00:00+00:00,YES,0.455,250.0,549.4505494505495,0,-250.0,7987.512924520799
0xcbd8d6c5acc3c2d5b0f04e6cd63c1922dbca1ff89be9edce99f4c7d53be2ac58,TSM,2026-01-15 14:00:00+00:00,NO,0.04500000000000004,250.0,5555.55555555555,1,-250.0,7737.512924520799
0xbfd6497fca9e900c03e88734d2f91ec11ffe1952928f7c4338582f64ec0c116e,MS,2026-01-15 14:00:00+00:00,NO,0.14500000000000002,250.0,1724.1379310344826,1,-250.0,7487.512924520799
0x9b49db9417c3275700691123dae474dd4183f02ae2bd5e1fd088a883e0d12ac3,GS,2026-01-15 14:00:00+00:00,NO,0.08499999999999996,250.0,2941.1764705882365,1,-250.0,7237.512924520799
0xc3e2caf899d38010e4797d6c9f7c1b3b46ee01e5ccfed0322ab20678b3362fb7,MMM,2026-01-20 14:00:00+00:00,NO,0.10499999999999998,250.0,2380.952380952381,1,-250.0,6987.512924520799
0xbd97540446a2a4a084e55d240de00d3bd3387c70d3cadc9b5517a482fafe4b8b,UNTY,2026-01-21 14:00:00+00:00,NO,0.007499999999999951,250.0,33333.333333333554,1,-250.0,6737.512924520799
0xf2944b1ab640c4cedb977b2bf59a528276131b5090941acb84c98db36bb90c95,SCHW,2026-01-21 14:00:00+00:00,NO,0.135,250.0,1851.8518518518517,1,-250.0,6487.512924520799
0xaa961d07661553768261adcaaf680a40d5da6e5bd3b4a6b060415d6999154b6d,PG,2026-01-22 14:00:00+00:00,NO,0.14500000000000002,250.0,1724.1379310344826,1,-250.0,6237.512924520799
0x1696b9be75450b5c8f219d111e48bcfa9515a21898d8cb073e10ea6688e777bb,SBUX,2026-01-28 14:00:00+00:00,YES,0.46,250.0,543.4782608695652,0,-250.0,5987.512924520799
0x6c6a1951fc8f841356ef67415f6e79155f74d0e7d50c1ab2ad7ce149b0279c09,TSLA,2026-01-28 22:00:00+00:00,YES,0.3,250.0,833.3333333333334,1,583.3333333333334,6570.846257854132
0x307cb08f3dd72cf84d3f766cf6afe0d08c731805e4c03611f6e184f6e5ab47cc,MSFT,2026-01-28 22:00:00+00:00,NO,0.06499999999999995,250.0,3846.1538461538494,1,-250.0,6320.846257854132
