variant,n,log_loss,auc,brier,improvement_vs_v1,improvement_ci_low,improvement_ci_high,passes_v_a
V1,2836,0.240275444678073,0.9494280207038389,0.07040452738848015,0.0,0.0,0.0,False
V2,2836,0.24227575592441308,0.9479811535928047,0.07110710686806226,-0.001955926778096839,-0.004565017267641092,0.0004642522942728953,False
V3,2836,0.2459474622428558,0.9430745075827774,0.07188701918988952,-0.005737163420982782,-0.010121693214935593,-0.0018680112984959469,False
