sub_category,liquidity_tier,strategy,n_bets,win_rate,win_rate_ci_low,win_rate_ci_high,mean_pnl,stdev_pnl,total_pnl,sharpe,sharpe_ci_low,sharpe_ci_high,max_drawdown,p_value_one_sided,primary_pass,data_constrained
hard_currency,<5K,S1,3,0.0,0.0,0.0,-51.0,0.0,-153.0,,-88334591186012.73,-88334591186012.73,0.68,1.0,False,True
hard_currency,<5K,S2,2,0.5,0.0,1.0,3.945054945054949,77.7040418886316,7.890109890109898,0.07180000000000007,-72124891681027.86,83283192096235.36,0.51,0.245,False,True
hard_currency,<5K,S3,0,,,,,,0.0,,,,,,False,True
hard_currency,<5K,S4,1,1.0,,,0.0725229826353413,0.0,0.0725229826353413,,,,0.0,,False,True
hard_currency,5-15K,S1,35,0.05714285714285714,0.0,0.14285714285714285,-28.582417582417584,92.40890809365946,-1000.3846153846155,-1.8298653917657752,-301720068938080.44,0.22265714202759831,0.7331428571428571,0.958,False,True
hard_currency,5-15K,S2,5,0.2,0.0,0.6,29.0,178.88543819998318,145.0,0.36250000000000004,-114039466852489.28,1.9289731724417527,0.816,0.354,False,True
hard_currency,5-15K,S3,5,0.2,0.0,0.6,-30.38144329896907,46.10449438143897,-151.90721649484536,-1.4735,-114039466852489.28,0.42988544985844784,0.816,0.924,False,True
hard_currency,5-15K,S4,19,0.631578947368421,0.42105263157894735,0.8421052631578947,-3.3252741314120753,16.97279673495441,-63.18020849682943,-0.8539861829927323,-2.092271780293685,4.730933353509892,0.0536842105263158,0.829,False,True
hard_currency,15-50K,S1,28,0.03571428571428571,0.0,0.10714285714285714,-33.993197278911566,89.99154119267315,-951.8095238095239,-1.9988000000000001,-269866633728588.25,0.000720000000000123,0.8014285714285714,0.929,False,True
hard_currency,15-50K,S2,3,0.3333333333333333,0.0,1.0,-22.014492753623188,50.2043712338805,-66.04347826086956,-0.7595,-88334591186012.73,62278522515628.766,0.68,0.737,False,True
hard_currency,15-50K,S3,5,0.2,0.0,0.6,44.23809523809524,212.95885499998,221.1904761904762,0.4645,-114039466852489.28,2.012255823696381,0.408,0.334,False,True
hard_currency,15-50K,S4,6,0.6666666666666666,0.3333333333333333,1.0,3.2743925142234125,3.162353025504316,19.646355085340474,2.536273089294699,0.9762087550690816,12.123147890262219,0.0038937690801923944,0.002,False,True
hard_currency,50-200K,S1,0,,,,,,0.0,,,,,,False,True
hard_currency,50-200K,S2,0,,,,,,0.0,,,,,,False,True
hard_currency,50-200K,S3,0,,,,,,0.0,,,,,,False,True
hard_currency,50-200K,S4,0,,,,,,0.0,,,,,,False,True
discretionary,<5K,S1,97,0.010309278350515464,0.0,0.030927835051546393,-38.11340206185567,126.91827064170238,-3697.0,-2.9576000000000002,-502291747891601.3,-0.5587212634335353,0.7517525773195877,0.984,False,False
discretionary,<5K,S2,18,0.3333333333333333,0.1111111111111111,0.5555555555555556,-19.114276471676686,48.617314974383895,-344.0569764901803,-1.6680272677812567,-5.924810146219195,0.2739090446116693,0.5224267394348292,0.954,False,True
discretionary,<5K,S3,9,0.1111111111111111,0.0,0.3333333333333333,-38.22860791826309,38.31417624521073,-344.0574712643678,-2.9932999999999996,-153000000000000.0,-0.6622000000000001,0.6512388250319284,0.986,False,True
discretionary,<5K,S4,37,0.21621621621621623,0.08108108108108109,0.35135135135135137,0.034662669345100185,2.0617521832846664,1.2825187657687067,0.1022648541380886,-3.8656291867315917,1.6672341954227448,0.007164990015818775,0.494,False,True
discretionary,5-15K,S1,161,0.018633540372670808,0.0,0.043478260869565216,-36.43485500007239,106.9009941049324,-5866.0116550116545,-4.324622859817939,-647117454562925.5,-1.528250788343522,0.7223616962747397,1.0,False,False
discretionary,5-15K,S2,16,0.0,0.0,0.0,-51.0,0.0,-816.0,,-204000000000000.0,-204000000000000.0,0.95625,1.0,False,True
discretionary,5-15K,S3,16,0.125,0.0,0.3125,-23.57126781695424,83.88155502927839,-377.14028507126784,-1.1240262681695312,-204000000000000.0,0.5166986637210312,0.6196511627906978,0.9,False,True
discretionary,5-15K,S4,52,0.2692307692307692,0.15384615384615385,0.38461538461538464,-1.6710132004019445,10.166824279342787,-86.89268642090111,-1.1852125325443041,-2.2827044280105553,1.736508570921696,0.040960785105462895,0.883,False,True
discretionary,15-50K,S1,239,0.03347280334728033,0.012552301255230125,0.058577405857740586,-26.596238649539952,146.60044786548727,-6356.501037240048,-2.8046835974728896,-9.684985658139352,-0.48239296106027163,0.5276569905640207,0.993,False,False
discretionary,15-50K,S2,17,0.23529411764705882,0.058823529411764705,0.47058823529411764,41.542829352307244,224.95007674178805,706.2280989892231,0.7614377193708842,-4.744445822784083,2.0350639816692278,0.30174688057041,0.233,False,True
discretionary,15-50K,S3,24,0.25,0.08333333333333333,0.4166666666666667,18.200378817873887,153.60571283390877,436.8090916289733,0.5804685308463191,-2.7454473741231444,1.9149004954385365,0.34,0.278,False,True
discretionary,15-50K,S4,92,0.2826086956521739,0.1956521739130435,0.3804347826086957,-2.9477492868652178,12.932833654546249,-271.19293439160003,-2.186204405064977,-3.2525059954645896,-0.5735851396882079,0.06322510120461691,0.991,False,False
discretionary,50-200K,S1,94,0.010638297872340425,0.0,0.031914893617021274,-35.80243161094226,147.34589232268465,-3365.4285714285725,-2.3558000000000026,-494463345456465.56,-0.20766633317431754,0.8680851063829788,0.978,False,False
discretionary,50-200K,S2,1,1.0,,,44.23809523809524,0.0,44.23809523809524,,,,0.0,,False,True
discretionary,50-200K,S3,6,0.0,0.0,0.0,-51.0,0.0,-306.0,,-124923976881942.08,-124923976881942.08,0.85,1.0,False,True
discretionary,50-200K,S4,2,0.5,0.0,1.0,1.9666946543520858,3.6612021975793825,3.9333893087041716,0.7596756756756758,-879875944347.9966,6442528450810.77,0.0062216624685138555,0.26,False,True
action_count,<5K,S1,6,0.0,0.0,0.0,-51.0,0.0,-306.0,,-124923976881942.08,-124923976881942.08,0.85,1.0,False,True
action_count,<5K,S2,1,0.0,,,-51.0,0.0,-51.0,,,,0.0,,False,True
action_count,<5K,S3,1,0.0,,,-51.0,0.0,-51.0,,,,0.0,,False,True
action_count,<5K,S4,4,0.75,0.25,1.0,1.6663531964746845,2.2120022884175645,6.665412785898738,1.5066469010452699,-0.43522626282428184,9.812430188679226,0.003237663645518616,0.036,False,True
action_count,5-15K,S1,5,0.0,0.0,0.0,-51.0,0.0,-255.0,,-114039466852489.28,-114039466852489.28,0.816,1.0,False,True
action_count,5-15K,S2,7,0.0,0.0,0.0,-51.0,0.0,-357.0,,-134933316864294.12,-134933316864294.12,0.8742857142857143,1.0,False,True
action_count,5-15K,S3,4,0.0,0.0,0.0,-51.0,0.0,-204.0,,-102000000000000.0,-102000000000000.0,0.765,1.0,False,True
action_count,5-15K,S4,4,1.0,1.0,1.0,2.543812170669746,2.961392028749771,10.175248682678983,1.7179840736882666,1.1396468468468473,5.6414644897959185,0.0,0.0,False,True
action_count,15-50K,S1,7,0.14285714285714285,0.0,0.42857142857142855,144.69471624266149,517.7595520674346,1012.8630136986303,0.7393900000000001,-134933316864294.12,1.9370412453146166,0.43714285714285717,0.336,False,True
action_count,15-50K,S2,2,0.0,0.0,0.0,-51.0,0.0,-102.0,,-72124891681027.86,-72124891681027.86,0.51,1.0,False,True
action_count,15-50K,S3,0,,,,,,0.0,,,,,,False,True
action_count,15-50K,S4,6,0.3333333333333333,0.0,0.6666666666666666,-7.856927449815323,21.246688796422703,-47.14156469889194,-0.9058100009143344,-2.2868031836035487,1.886123320087562,0.17,0.71,False,True
action_count,50-200K,S1,1,0.0,,,-51.0,0.0,-51.0,,,,0.0,,False,True
action_count,50-200K,S2,0,,,,,,0.0,,,,,,False,True
action_count,50-200K,S3,0,,,,,,0.0,,,,,,False,True
action_count,50-200K,S4,0,,,,,,0.0,,,,,,False,True
