category,liquidity_tier,strategy,n_bets,win_rate,win_rate_ci_low,win_rate_ci_high,mean_pnl,stdev_pnl,total_pnl,sharpe,sharpe_ci_low,sharpe_ci_high,max_drawdown,p_value_one_sided,primary_pass,data_constrained
earnings,<5K,S1,57,0.07017543859649122,0.017543859649122806,0.14035087719298245,-17.827604127375288,127.61526761659132,-1016.1734352603913,-1.0546971538202854,-7.139600000000002,0.7973243863774487,0.6072287742768292,0.839,False,True
earnings,<5K,S2,50,0.26,0.15950000000000003,0.4,-0.6694953200010946,121.27445669244162,-33.47476600005473,-0.03903581130410757,-3.9593986578035456,1.5394919772106344,0.2714984833164813,0.525,False,True
earnings,<5K,S3,42,0.16666666666666666,0.07142857142857142,0.2857142857142857,-18.153008887288813,79.60549873105606,-762.4263732661301,-1.477849462282384,-6.139892800428443,0.36998713470837996,0.33877446346006196,0.932,False,True
earnings,<5K,S4,0,,,,,,0.0,,,,,,False,True
earnings,5-15K,S1,87,0.06896551724137931,0.022988505747126436,0.12643678160919541,-12.834898314027157,144.76297083113985,-1116.6361533203626,-0.826979171506681,-4.197903336188189,1.1001758454866692,0.5365836220645657,0.797,False,False
earnings,5-15K,S2,46,0.34782608695652173,0.21739130434782608,0.5,19.324527030844273,142.50481839093294,888.9282434188365,0.9197255262727947,-1.5089545570830896,2.3480818623957243,0.19284594325009569,0.168,False,True
earnings,5-15K,S3,82,0.2073170731707317,0.12195121951219512,0.2926829268292683,-11.802984683388187,98.87453682790391,-967.8447440378313,-1.0809716587967229,-5.124870696269929,0.7156079850761615,0.3598731946779241,0.857,False,False
earnings,5-15K,S4,2,1.0,1.0,1.0,1.2053455658825207,1.6757545453444098,2.4106911317650415,1.0172229885057493,1.0172229885057493,3380370591961.744,0.0,0.0,False,True
earnings,15-50K,S1,105,0.05714285714285714,0.01904761904761905,0.10476190476190476,-21.25728949733333,125.08672250601663,-2232.0153972199996,-1.7413710626757166,-6.753173816715048,0.19918080811401098,0.5263688843126182,0.945,False,False
earnings,15-50K,S2,45,0.2222222222222222,0.1111111111111111,0.3333333333333333,-12.025459784212398,94.92730359377461,-541.1456902895579,-0.849800147698043,-5.5898868803489865,0.8538383870266878,0.3555048471290082,0.811,False,True
earnings,15-50K,S3,46,0.17391304347826086,0.06521739130434782,0.2826086956521739,-0.9943776978215055,141.41401005549795,-45.741374099789255,-0.04769115642671552,-4.975023501400031,1.408932764154768,0.49614207301796975,0.549,False,True
earnings,15-50K,S4,3,0.3333333333333333,0.0,1.0,1.0473968584565536,3.308873832279438,3.1421905753696606,0.5482664696480855,-1688727875913.8274,8428023761969.228,0.006499916624979155,0.298,False,True
geopolitics,<5K,S1,105,0.009523809523809525,0.0,0.02857142857142857,-39.095238095238095,121.98750911856663,-4105.0,-3.2840000000000003,-522594489063939.5,-0.7485502851590966,0.7721904761904762,0.996,False,False
geopolitics,<5K,S2,21,0.3333333333333333,0.14285714285714285,0.5238095238095238,-18.43651745714621,49.137751718523205,-387.1668666000704,-1.7193854794723693,-5.367568324594963,0.24580246027280175,0.4888513862868918,0.952,False,True
geopolitics,<5K,S3,9,0.1111111111111111,0.0,0.3333333333333333,-38.22860791826309,38.31417624521073,-344.0574712643678,-2.9932999999999996,-153000000000000.0,-0.6622000000000001,0.6512388250319284,0.987,False,True
geopolitics,<5K,S4,41,0.2926829268292683,0.17073170731707318,0.4146341463414634,0.21141432349771974,2.101269071488841,8.66798726340651,0.6442355228545548,-1.8293596221550215,2.152846772154624,0.006241583944988041,0.264,False,True
geopolitics,5-15K,S1,187,0.026737967914438502,0.0053475935828877,0.053475935828877004,-34.26415117858968,106.71434890974209,-6407.39627039627,-4.390742436107453,-16.162854695494723,-1.4597091378434246,0.6798284781172481,1.0,False,False
geopolitics,5-15K,S2,20,0.05,0.0,0.15,-31.0,89.44271909999159,-620.0,-1.55,-228078933704978.56,0.2746655720518832,0.918,0.936,False,True
geopolitics,5-15K,S3,20,0.15,0.0,0.35,-23.90237507830566,77.29696364349091,-478.0475015661132,-1.3829090556596282,-228078933704978.56,0.5604100087578462,0.6487209302325581,0.911,False,True
geopolitics,5-15K,S4,70,0.35714285714285715,0.24285714285714285,0.45714285714285713,-2.2048925034554983,12.29769714702843,-154.34247524188487,-1.500073874312004,-2.6443909789758475,0.1977526883372888,0.04624853127921262,0.96,False,True
geopolitics,15-50K,S1,265,0.03773584905660377,0.018773584905660383,0.06037735849056604,-22.024330367362044,164.43369636849388,-5836.447547350942,-2.180393257085554,-7.439839205302118,-0.1396158814650025,0.43663755074346733,0.983,False,False
geopolitics,15-50K,S2,20,0.25,0.05,0.45,32.00923103641768,208.37496059331122,640.1846207283536,0.6869809721967479,-6.366060617675893,2.0501135323670567,0.30748484848484847,0.266,False,True
geopolitics,15-50K,S3,24,0.20833333333333334,0.08333333333333333,0.375,17.964173224525435,168.29183427331836,431.1401573886104,0.5229375298101635,-3.7946736742905505,1.907244799207538,0.2975,0.3,False,True
geopolitics,15-50K,S4,102,0.29411764705882354,0.20588235294117646,0.38235294117647056,-3.0117536719218676,13.275289189897759,-307.1988745360305,-2.2912661748907097,-3.5639246895990846,-0.6477561798727395,0.0640145719760928,0.993,False,False
econ,<5K,S1,178,0.0056179775280898875,0.0,0.016853932584269662,-45.938758983702805,67.52537738701454,-8177.0990990990995,-9.07658,-680424867270443.0,-4.108945700915503,0.9130448425954044,1.0,False,False
econ,<5K,S2,50,0.24,0.12,0.36,-26.573900708705427,54.972296724646434,-1328.6950354352714,-3.418191800831015,-9.880004407917783,-0.8260348632215401,0.5110780141741086,0.997,False,True
econ,<5K,S3,23,0.17391304347826086,0.043478260869565216,0.34782608695652173,7.115329882660989,190.55136063666882,163.65258730120274,0.17907992488754715,-9.0878,1.4864604951533325,0.4486445012787724,0.463,False,True
econ,<5K,S4,76,0.7236842105263158,0.618421052631579,0.8289473684210527,2.082338847546006,2.4650594177467657,158.25775241349643,7.3642886960986305,5.895901424506112,8.945734571698054,0.0005474839749822018,0.0,False,True
econ,5-15K,S1,232,0.0603448275862069,0.03017241379310345,0.09051724137931035,50.57132702771648,530.347844077695,11732.547870430222,1.4524043289939705,-0.34355328252052164,2.6410746000025287,0.35172413793103446,0.049,False,False
econ,5-15K,S2,57,0.2982456140350877,0.17543859649122806,0.40350877192982454,50.40657309607593,510.71980929835524,2873.174666476328,0.745146897371329,-5.520908941021445,1.7484717475686387,0.27022476347962787,0.348,False,True
econ,5-15K,S3,59,0.23728813559322035,0.13559322033898305,0.3389830508474576,9.985570035320075,147.28123593881776,589.1486320838844,0.5207765831670862,-2.1680236219336764,2.0312827972111482,0.28935887988209286,0.325,False,True
econ,5-15K,S4,67,0.6268656716417911,0.5223880597014925,0.746268656716418,-1.5221835270947577,12.812408308095941,-101.98629631534877,-0.9724642591143965,-2.283220233518313,1.370484067660103,0.03972969737109494,0.851,False,True
econ,15-50K,S1,261,0.038314176245210725,0.01532567049808429,0.06513409961685823,-0.5557230978249376,352.8460463939993,-145.0437285323087,-0.02544447216713533,-4.799852119980822,1.4571201945929337,0.3809236650990352,0.548,False,False
econ,15-50K,S2,38,0.3684210526315789,0.21052631578947367,0.5263157894736842,35.526750234429066,305.25803026271876,1350.0165089083046,0.7174310744146952,-3.5411055516985694,1.819776405038888,0.2029970154448742,0.341,False,True
econ,15-50K,S3,76,0.14473684210526316,0.07861842105263159,0.2236842105263158,-20.699907296838546,87.02211343230154,-1573.1929545597295,-2.0736982931992918,-6.922998266203703,-0.08786681795209161,0.5333763533600911,0.978,False,True
econ,15-50K,S4,27,0.4444444444444444,0.25925925925925924,0.6296296296296297,-2.5009538980717823,14.193635441598682,-67.52575524793812,-0.9155749920458415,-2.125914369031427,3.5633298622029286,0.07297959805450456,0.84,False,True
