condition_id,category,liquidity_tier,strategy,side,entry_price,stake,fee,outcome_yes_won,pnl
0x9d5751efa34a643e5c37fc5b9d8349592d6abb283bcab8bf315eee02e2774ebb,earnings,<5K,S1,NO,0.885,50.0,1.0,0,383.7826086956522
0x7e53cf31b446a4f131d9218cb5b42e2e22860183ec89fc354d6c3b47f0543a05,earnings,<5K,S1,NO,0.94,50.0,1.0,1,-51.0
0x55160517bc772d8a1808ae6ae2816cf8a72e78f9985c43021d400bf89f3edaf8,earnings,<5K,S1,NO,0.865,50.0,1.0,1,-51.0
0x8ec10f4ee905b6a497ebb8c73b6aabfa6de2009889958184c24ff833efede1cf,earnings,<5K,S1,NO,0.855,50.0,1.0,1,-51.0
0xe83891ec9a85382c39c6bf52bf6f3edc6322c6118f30001f70f2bb394bbf4d95,earnings,<5K,S1,NO,0.89,50.0,1.0,1,-51.0
0xb56646001e1d8a623a45dcafd68e8b589d29b834f436da9d37d1152ecb1ef4e8,earnings,<5K,S1,NO,0.906,50.0,1.0,1,-51.0
0x47bed979a3f9e4b22956f1c8308f1b5b62b94963f7b97502ae1a5c7b9f042566,earnings,<5K,S1,NO,0.94,50.0,1.0,1,-51.0
0xa65efcfe126832f7e1d399d5b1ae0853555dc726817c803a6fa1e9750944def5,earnings,<5K,S1,NO,0.885,50.0,1.0,1,-51.0
0xa2a6a018db066545fd0519e5168c1f5f2d2281d797b76159af42fefe1115bc41,earnings,<5K,S1,NO,0.905,50.0,1.0,1,-51.0
0xb936171965af07ed369c19a0d9d10b2a6debfcde8877268fc934c377f4dca6bf,earnings,<5K,S1,NO,0.953,50.0,1.0,1,-51.0
0x42515cedaf24d8c4b804bbf750a5ace8de2094b65760ade9599488be6338f682,earnings,<5K,S1,NO,0.89,50.0,1.0,1,-51.0
0xac11b9769a9b237cf6fe5f3564aab538a48ac7375eb600a74e69db80b0a3eb9e,earnings,<5K,S1,NO,0.87,50.0,1.0,1,-51.0
0xa063152c3d9353f824e6f9d98910cbaca93d3548114e86ea80ec16707a05c51c,earnings,<5K,S1,NO,0.895,50.0,1.0,1,-51.0
0x2c6c5deeaa153ee443a4b2b4df406d74d5ecee63a394e9ac3d22200558212ac2,earnings,<5K,S1,NO,0.93,50.0,1.0,1,-51.0
0x0e02c9fb7b1dacb8a129bc2d9fd51b529d74d97f8c69598670caf151cb69b631,earnings,<5K,S1,NO,0.94,50.0,1.0,1,-51.0
0x080980e11accdadd452700113263658ea60b535f898927dfe54ecd9c968c2b1d,earnings,<5K,S1,NO,0.885,50.0,1.0,1,-51.0
0xd88085a5d7eb64d9d18fa2e0e05dc35fbd3d778cf9841d82c2843cf87747d3b4,earnings,<5K,S1,NO,0.93,50.0,1.0,0,663.2857142857148
0x868395f961c26281e2ab9ad2dbcf72232ef9c5617c971ea85c294d7a8f3608df,earnings,<5K,S2,YES,0.01,50.0,1.0,0,-51.0
0x65e1b00fec4a5aeea88a634a8cbd6c6212031a9563280da17906d0c8effb39e9,earnings,<5K,S2,NO,0.725,50.0,1.0,1,-51.0
0x8ea8c63a6ce57c6cb6e6ca3c1a3ddb6d1282f12d64da66b2b38e7f287ec60be8,earnings,<5K,S2,NO,0.63,50.0,1.0,1,-51.0
0x8d3ca023239d93aad864f4b27e12818000b7b878bd5719e23345452108e2ecfd,earnings,<5K,S2,NO,0.9995,50.0,1.0,1,-51.0
0x2c2d30157f3dbc5788c2c5f0f540272d97f417ef176a2f1feb4ab10968a9191e,earnings,<5K,S2,NO,0.665,50.0,1.0,0,98.25373134328359
0xf1608932598295f9c1bd6c801bc0111dcd41d8723a4af7cdceb50fe903b7d949,earnings,<5K,S2,YES,0.515,50.0,1.0,1,46.08737864077669
0x7cb095bd306cbf3920e010ffdc12e5b828d01a9276266f3a916cf1a92f71e30e,earnings,<5K,S2,NO,0.845,50.0,1.0,1,-51.0
0xe7c561000aec1ea32649c6ce22c5c87e0ec736ba0f72bf9cf582ec93de99ba30,earnings,<5K,S2,NO,0.975,50.0,1.0,1,-51.0
0xac1d7ea60be2f5dd44155505fa5ac9fab2a488c9070a67b129eeb25153dc2147,earnings,<5K,S2,NO,0.78,50.0,1.0,1,-51.0
