decile,n,mean_predicted,realized_beat_rate
0.0–0.1,1,0.0635,0.0
0.1–0.2,6,0.1475,0.16666666666666666
0.2–0.3,15,0.2703333333333333,0.3333333333333333
0.3–0.4,16,0.35062499999999996,0.25
0.4–0.5,21,0.4576190476190475,0.42857142857142855
0.5–0.6,33,0.5521212121212121,0.5757575757575758
0.6–0.7,53,0.6592547169811319,0.5849056603773585
0.7–0.8,87,0.7489080459770117,0.7471264367816092
0.8–0.9,145,0.8526,0.896551724137931
0.9–1.0,66,0.9288939393939393,0.8939393939393939
