decile,n,mean_predicted,realized_beat_rate
0.0–0.1,8,1e-06,0.25
0.1–0.2,7,0.10158730158730159,0.42857142857142855
0.2–0.3,12,0.2583333333333333,0.4166666666666667
0.3–0.4,4,0.3333333333333333,1.0
0.4–0.5,25,0.4000000000000001,0.44
0.5–0.6,83,0.546987951807229,0.6265060240963856
0.6–0.7,25,0.6986666666666665,0.64
0.7–0.8,25,0.7529899553929592,0.68
0.8–0.9,65,0.8015384615384614,0.8769230769230769
0.9–1.0,189,0.9513222380952382,0.8253968253968254
