decile,n,mean_predicted,realized_beat_rate
0.0–0.1,0,,
0.1–0.2,14,0.15610006366856716,0.42857142857142855
0.2–0.3,20,0.2368527845415353,0.35
0.3–0.4,24,0.34673426619926434,0.5
0.4–0.5,27,0.44105423810323796,0.5925925925925926
0.5–0.6,20,0.5586512831743617,0.5
0.6–0.7,47,0.6595959415154277,0.7872340425531915
0.7–0.8,61,0.7468502544663761,0.7049180327868853
0.8–0.9,92,0.8554764485156475,0.8260869565217391
0.9–1.0,138,0.9620652070037556,0.8405797101449275
