variant,label,n_oos,log_loss,auc,brier,log_loss_lo,log_loss_hi,auc_lo,auc_hi,brier_lo,brier_hi,ll_beats_baseline,auc_beats_baseline,brier_beats_baseline,n_metrics_beating,beats_all_three,ll_delta_vs_baseline,auc_delta_vs_baseline,brier_delta_vs_baseline
"Implied (baseline, recomputed)",Polymarket YES price at T-3d,443,0.4871478909336907,0.7723039215686275,0.15770822121896164,0.4386617389733615,0.5398813659639435,0.7193124934689455,0.8216778599199532,0.13823939469525962,0.17896493192720092,False,False,False,0,False,0.0001478909336907197,0.0003039215686274632,-0.0002917787810383654
M1,Logistic without implied price,443,0.5864389548358481,0.5211558307533539,0.19759056844819975,0.5398703163032031,0.6394853163946188,0.46323710123895984,0.5770520880272002,0.17777857025273253,0.2197965012619733,False,False,False,0,False,0.09943895483584808,-0.2508441692466461,0.03959056844819975
M2,"Random forest (200 trees, depth=5)",443,0.5096253286778318,0.755843653250774,0.16682438541010866,0.4654599624894219,0.5588172517888529,0.7033081376480858,0.8108280449998241,0.14784577812876323,0.18782381368469225,False,False,False,0,False,0.022625328677831846,-0.016156346749226058,0.00882438541010866
M3,HistGradientBoosting (default),443,0.598057750373627,0.6887254901960783,0.18734010546977917,0.5169205979945674,0.687145688512084,0.6330245554054513,0.7457301942970423,0.1624314909364811,0.2114968740664333,False,False,False,0,False,0.11105775037362697,-0.0832745098039217,0.029340105469779165
M4,"k-NN: same sector + |Δp|≤0.05, top 10 recent",443,1.0930514789541879,0.6632997936016511,0.19514391000674405,0.8321234352473426,1.375667214186506,0.6045732724832403,0.724526207064128,0.16936162909410832,0.22057582717672125,False,False,False,0,False,0.6060514789541879,-0.10870020639834888,0.03714391000674405
M5,"Stacked simple (3 features, L2 logistic)",443,0.5029041383854276,0.7643704850361196,0.16249105950550405,0.44969767745630834,0.5643785991756008,0.7101926489673436,0.8180318445153274,0.14128377565493608,0.18576147115291874,False,False,False,0,False,0.01590413838542759,-0.007629514963880424,0.004491059505504047
