decile,n,mean_predicted,realized_beat_rate
0.0–0.1,0,,
0.1–0.2,1,0.18892156973888816,1.0
0.2–0.3,1,0.29524247780952956,0.0
0.3–0.4,21,0.35955930569634875,0.38095238095238093
0.4–0.5,18,0.44888849209062465,0.0
0.5–0.6,12,0.561099390231666,0.6666666666666666
0.6–0.7,41,0.6506434629285196,0.5853658536585366
0.7–0.8,139,0.7528467956227194,0.6906474820143885
0.8–0.9,202,0.834591261633567,0.8861386138613861
0.9–1.0,8,0.9312302844830381,0.875
