variant,n,total_pnl,mean_pnl,stdev_pnl,variance,variance_ratio_vs_H5,sharpe,sharpe_ci_low,sharpe_ci_high,sharpe_ratio_vs_H5,max_drawdown,ablation_n,ablation_sharpe,ablation_pass,period_first_sharpe,period_second_sharpe,period_pass,topdecile_n,topdecile_mean,topdecile_pass,primary_pass,robustness_pass,verdict_a_pass
H1,792,1663.9213372028057,2.100910779296472,144.5607242304831,20897.80299004178,1.0398916101320013,0.40899677619837965,-1.5032237657403058,2.375868597311578,1.4461973590648471,-2872.05923418927,712,-0.08696644132087628,False,0.31206585025898137,0.26628614102864634,False,712,-18.83140709211493,False,False,False,False
H2,792,1663.9213372028057,2.100910779296472,144.5607242304831,20897.80299004178,1.0398916101320013,0.40899677619837965,-1.5032237657403058,2.375868597311578,1.4461973590648471,-2872.05923418927,712,-0.08696644132087628,False,0.31206585025898137,0.26628614102864634,False,712,-18.83140709211493,False,False,False,False
H3,792,1248.7606149905184,1.5767179482203515,142.24845922204497,20234.62415104579,1.0068912937342616,0.3119385371303798,-1.6695043497243105,2.261846288819872,1.1030030426687119,-3198.7558878530886,712,-0.12513419135833348,False,0.07848695076197543,0.35861127338425586,False,709,-19.541664221025552,False,False,False,False
H4,792,1575.9847734190384,1.9898797644179778,143.39373602367152,20561.763530826393,1.0231700143509572,0.39053435663210806,-1.5212697097915224,2.305010828128182,1.3809149314944682,-2808.826631773056,712,-0.0489401266998929,False,0.2327505883783381,0.3183097647553395,False,708,-19.281423481290254,False,False,False,False
H5,792,1128.2651911499509,1.4245772615529682,141.76084006694663,20096.13577648642,1.0,0.28280841036997106,-1.6952834955502216,2.209867972985184,1.0,-3169.2627703924586,712,-0.14933338658352704,False,0.08986780805965268,0.3066998777840317,False,710,-19.430009511831287,False,False,False,False
