decile,n,mean_predicted,realized_beat_rate
0.0–0.1,2,0.007800765279956311,0.5
0.1–0.2,0,,
0.2–0.3,3,0.2513937961654244,0.3333333333333333
0.3–0.4,2,0.36234971981145875,0.5
0.4–0.5,2,0.43161904004031637,1.0
0.5–0.6,7,0.5817986207020626,0.7142857142857143
0.6–0.7,14,0.6667447613077396,0.8571428571428571
0.7–0.8,351,0.7411209012165322,0.7065527065527065
0.8–0.9,43,0.8391505367775103,0.7906976744186046
0.9–1.0,19,0.9288575552375712,1.0
