ticker,sector,end_date,pm_side,polymarket_implied_p_beat,outcome_beat,stock_return,pm_pnl,hedge_ratio,stock_pnl,pnl
GIS,Staples,2025-09-24 07:00:00+00:00,YES,0.9965,1,-0.005163782687772819,-0.37192674360261746,0.5,-0.7204728359716024,-1.0923995795742198
BLSH,Other,2025-09-24 20:00:00+00:00,YES,0.504,1,-0.09525874708755751,244.78174603174605,0.0,0.0,244.78174603174605
FDS,TechServices,2025-09-25 07:00:00+00:00,NO,0.005,0,-0.016777755113989018,0.006281407035153563,0.5,2.022219389248627,2.0285007962837804
FDX,Industrials,2025-09-25 16:00:00+00:00,YES,0.9955,1,0.028072321277288845,-0.11991461577095963,0.5,3.4340401596611057,3.314125543890146
MU,Semis,2025-09-30 16:00:00+00:00,YES,0.9895,1,0.16837287684029198,1.4028549772612542,0.5,20.971609605036498,22.37446458229775
MLKN,Other,2025-09-30 20:00:00+00:00,YES,0.995,1,-0.02224680765508484,0.006281407035153563,0.5,-2.855850956885605,-2.8495695498504516
ACN,TechServices,2025-10-02 11:00:00+00:00,YES,0.991,1,0.0047368208575619426,1.0204339051463074,0.5,0.5171026071952428,1.5375365123415503
JBL,Other,2025-10-02 11:00:00+00:00,YES,0.985,1,-0.057386533547254905,2.5571065989847552,0.5,-7.2483166934068635,-4.691210094422108
KMX,Staples,2025-10-02 11:00:00+00:00,NO,0.011,0,0.03447516847051968,1.530586450960576,0.5,-4.38439605881496,-2.8538096078543838
CNXC,Other,2025-10-02 20:00:00+00:00,NO,0.01,0,-0.006063185432304653,1.2752525252525415,0.5,0.6828981790380816,1.958150704290623
STZ,Other,2025-10-06 00:00:00+00:00,YES,0.705,1,-0.002633102301081231,103.35992907801419,0.5,-0.4041377876351539,102.95579129037904
PRGS,Other,2025-10-06 20:00:00+00:00,YES,0.989,1,-0.0049815800597330226,1.530586450960576,0.5,-0.6976975074666277,0.8328889434939483
MKC,Other,2025-10-07 00:00:00+00:00,YES,0.74,1,-0.04498627563845974,86.58783783783782,0.5,-5.698284454807468,80.88955338303036
AZZ,Other,2025-10-08 00:00:00+00:00,YES,0.87,0,-0.07031474715468769,-251.25,0.5,-8.864343394335961,-260.11434339433595
RELL,Other,2025-10-08 00:00:00+00:00,YES,0.83,1,0.23670487041747834,49.95481927710846,0.5,29.513108802184792,79.46792807929326
RGP,Other,2025-10-08 00:00:00+00:00,YES,0.845,1,-0.04233875536680329,44.60798816568049,0.5,-5.3673444208504115,39.24064374483008
PEP,Staples,2025-10-09 00:00:00+00:00,YES,0.89,1,0.057050323784634684,29.648876404494402,0.5,7.056290473079335,36.70516687757374
DAL,Industrials,2025-10-09 00:00:00+00:00,YES,0.885,1,0.0038420458748545973,31.235875706214692,0.5,0.40525573435682466,31.641131440571517
APLD,Other,2025-10-09 00:00:00+00:00,YES,0.83,1,0.28119113451725064,49.95481927710846,0.5,35.07389181465633,85.02871109176479
LEVI,Other,2025-10-09 00:00:00+00:00,YES,0.915,1,-0.12229043551942587,21.974043715846964,0.5,-15.361304439928233,6.612739275918731
NEOG,Other,2025-10-09 00:00:00+00:00,NO,0.37,0,-0.003300326916726055,145.5753968253968,0.0,0.0,145.5753968253968
NRIX,Other,2025-10-09 00:00:00+00:00,YES,0.805,0,0.04051173878515111,-251.25,0.5,4.9889673481438885,-246.2610326518561
BYRN,Other,2025-10-09 00:00:00+00:00,YES,0.81,1,0.16637168873522432,57.39197530864196,0.5,20.72146109190304,78.113436400545
HELE,Other,2025-10-09 00:00:00+00:00,NO,0.49,1,-0.2208774597059985,-251.25,0.0,0.0,-251.25
UNTY,Other,2025-10-10 00:00:00+00:00,YES,0.795,1,-0.04765753233471677,63.21540880503143,0.5,-6.032191541839596,57.183217263191835
FAST,Other,2025-10-13 00:00:00+00:00,YES,0.755,0,-0.08477842835315101,-251.25,0.5,-10.672303544143876,-261.92230354414386
DPZ,Consumer,2025-10-14 00:00:00+00:00,YES,0.825,1,0.027290429434323447,51.78030303030304,0.5,3.3363036792904306,55.11660670959347
C,Banks,2025-10-14 00:00:00+00:00,YES,0.865,0,0.0622803341652199,-251.25,0.5,7.710041770652487,-243.53995822934752
GS,Banks,2025-10-14 00:00:00+00:00,YES,0.91,1,0.004670522346340323,23.475274725274694,0.5,0.5088152932925404,23.984090018567233
JNJ,Pharma,2025-10-14 00:00:00+00:00,YES,0.9795,1,0.0023594660726587555,3.9822613578356103,0.5,0.2199332590823444,4.2021946169179545
WFC,Banks,2025-10-14 00:00:00+00:00,YES,0.9345,1,0.11388814390799973,16.272739432851818,0.5,14.161017988499967,30.433757421351785
BLK,Other,2025-10-14 00:00:00+00:00,YES,0.935,0,0.062020839730669734,-251.25,0.5,7.677604966333717,-243.57239503366628
JPM,Banks,2025-10-14 00:00:00+00:00,YES,0.935,1,0.015952584832397608,16.129679144384987,0.5,1.919073104049701,18.04875224843469
ABT,Other,2025-10-15 00:00:00+00:00,YES,0.895,0,-0.03298244924785414,-251.25,0.5,-4.197806155981767,-255.44780615598177
BAC,Banks,2025-10-15 00:00:00+00:00,YES,0.91,1,0.03679328233640124,23.475274725274694,0.5,4.524160292050154,27.99943501732485
CFG,Other,2025-10-15 00:00:00+00:00,YES,0.745,1,-0.017461862619818438,84.32046979865774,0.5,-2.2577328274773047,82.06273697118044
MS,Banks,2025-10-15 00:00:00+00:00,YES,0.92,1,0.05373380113918328,20.489130434782595,0.5,6.64172514239791,27.130855577180505
GBCI,Other,2025-10-16 00:00:00+00:00,YES,0.815,0,-0.04891777072157753,-251.25,0.5,-6.189721340197192,-257.4397213401972
USB,Banks,2025-10-16 00:00:00+00:00,YES,0.85,1,0.009054680867209501,42.867647058823536,0.5,1.0568351084011878,43.924482167224724
IBKR,Other,2025-10-16 00:00:00+00:00,YES,0.855,1,-0.04028397944430113,41.14766081871343,0.5,-5.110497430537642,36.03716338817579
KEY,Other,2025-10-16 00:00:00+00:00,YES,0.785,1,-0.013953630576710431,67.22133757961782,0.5,-1.8192038220888038,65.40213375752901
