ticker,sector,end_date,pm_side,polymarket_implied_p_beat,outcome_beat,stock_return,pm_pnl,hedge_ratio,stock_pnl,pnl
HELE,Other,2025-10-09 00:00:00+00:00,NO,0.49,1,-0.2208774597059985,-251.25,0.0,0.0,-251.25
UNTY,Other,2025-10-10 00:00:00+00:00,YES,0.795,1,-0.04765753233471677,63.21540880503143,0.0,0.0,63.21540880503143
FAST,Other,2025-10-13 00:00:00+00:00,YES,0.755,0,-0.08477842835315101,-251.25,0.0,0.0,-251.25
DPZ,Consumer,2025-10-14 00:00:00+00:00,YES,0.825,1,0.027290429434323447,51.78030303030304,0.0,0.0,51.78030303030304
C,Banks,2025-10-14 00:00:00+00:00,YES,0.865,0,0.0622803341652199,-251.25,0.0,0.0,-251.25
GS,Banks,2025-10-14 00:00:00+00:00,YES,0.91,1,0.004670522346340323,23.475274725274694,0.0,0.0,23.475274725274694
JNJ,Pharma,2025-10-14 00:00:00+00:00,YES,0.9795,1,0.0023594660726587555,3.9822613578356103,0.0,0.0,3.9822613578356103
WFC,Banks,2025-10-14 00:00:00+00:00,YES,0.9345,1,0.11388814390799973,16.272739432851818,0.0,0.0,16.272739432851818
BLK,Other,2025-10-14 00:00:00+00:00,YES,0.935,0,0.062020839730669734,-251.25,0.0,0.0,-251.25
JPM,Banks,2025-10-14 00:00:00+00:00,YES,0.935,1,0.015952584832397608,16.129679144384987,0.0,0.0,16.129679144384987
ABT,Other,2025-10-15 00:00:00+00:00,YES,0.895,0,-0.03298244924785414,-251.25,0.0,0.0,-251.25
BAC,Banks,2025-10-15 00:00:00+00:00,YES,0.91,1,0.03679328233640124,23.475274725274694,0.0,0.0,23.475274725274694
CFG,Other,2025-10-15 00:00:00+00:00,YES,0.745,1,-0.017461862619818438,84.32046979865774,0.0,0.0,84.32046979865774
MS,Banks,2025-10-15 00:00:00+00:00,YES,0.92,1,0.05373380113918328,20.489130434782595,0.0,0.0,20.489130434782595
GBCI,Other,2025-10-16 00:00:00+00:00,YES,0.815,0,-0.04891777072157753,-251.25,0.0,0.0,-251.25
USB,Banks,2025-10-16 00:00:00+00:00,YES,0.85,1,0.009054680867209501,42.867647058823536,0.0,0.0,42.867647058823536
IBKR,Other,2025-10-16 00:00:00+00:00,YES,0.855,1,-0.04028397944430113,41.14766081871343,0.0,0.0,41.14766081871343
KEY,Other,2025-10-16 00:00:00+00:00,YES,0.785,1,-0.013953630576710431,67.22133757961782,0.0,0.0,67.22133757961782
BK,Other,2025-10-16 00:00:00+00:00,YES,0.885,1,0.013774648670652244,31.235875706214692,0.0,0.0,31.235875706214692
